"Kod";"Nazwa";"sektor publiczny - spółki handlowe;2003;[-]";"sektor publiczny - spółki handlowe;2004;[-]";"sektor publiczny - spółki handlowe;2005;[-]";"sektor publiczny - spółki handlowe;2006;[-]";"sektor publiczny - spółki handlowe;2007;[-]";"sektor publiczny - spółki handlowe;2008;[-]";"sektor publiczny - spółki handlowe;2009;[-]";"sektor publiczny - spółki handlowe;2010;[-]";"sektor publiczny - spółki handlowe;2011;[-]";"sektor publiczny - spółki handlowe;2012;[-]";"sektor publiczny - spółki handlowe;2013;[-]";"sektor publiczny - spółki handlowe;2014;[-]";"sektor publiczny - spółki handlowe;2015;[-]";"sektor publiczny - spółki handlowe;2016;[-]";"sektor publiczny - spółki handlowe;2017;[-]";"sektor publiczny - spółki handlowe;2018;[-]";
2661000;"Powiat m.Kielce";1;2;0;2;0;2;0;3;1;0;0;0;0;0;0;0;
2801000;"Powiat bartoszycki";1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;
2802000;"Powiat braniewski";2;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;
2803000;"Powiat działdowski";0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;
2804000;"Powiat elbląski";0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;
2805000;"Powiat ełcki";0;0;0;1;2;0;0;1;0;0;0;0;0;0;1;0;
2806000;"Powiat giżycki";0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;
2807000;"Powiat iławski";0;1;2;0;1;0;0;0;1;1;1;0;0;1;0;0;
2808000;"Powiat kętrzyński";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;
2809000;"Powiat lidzbarski";1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
2810000;"Powiat mrągowski";0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;
2812000;"Powiat nowomiejski";0;1;0;0;0;1;0;2;0;0;0;1;0;1;0;0;
2813000;"Powiat olecki";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2814000;"Powiat olsztyński";4;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;
2815000;"Powiat ostródzki";0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;
2817000;"Powiat szczycieński";0;0;0;0;0;0;0;0;3;2;0;0;1;3;0;1;
2861000;"Powiat m.Elbląg";2;2;0;0;0;0;0;0;1;0;2;0;0;0;1;0;
2862000;"Powiat m.Olsztyn";0;0;0;0;0;0;0;2;0;1;2;1;0;0;0;0;
3001000;"Powiat chodzieski";0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;
3002000;"Powiat czarnkowsko-trzcianecki";0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
3003000;"Powiat gnieźnieński";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
3004000;"Powiat gostyński";1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;
3005000;"Powiat grodziski";0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;
3006000;"Powiat jarociński";5;1;0;1;0;0;1;1;0;0;0;0;0;1;0;1;
3009000;"Powiat kolski";1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;
3010000;"Powiat koniński";0;0;0;0;1;0;1;0;5;1;0;0;1;0;0;0;
3011000;"Powiat kościański";0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
3012000;"Powiat krotoszyński";0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;
3013000;"Powiat leszczyński";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
3014000;"Powiat międzychodzki";0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;
3015000;"Powiat nowotomyski";0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;
3016000;"Powiat obornicki";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
3017000;"Powiat ostrowski";1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;
3018000;"Powiat ostrzeszowski";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3019000;"Powiat pilski";0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;
3020000;"Powiat pleszewski";0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;
3021000;"Powiat poznański";0;3;0;0;0;2;3;2;6;3;3;1;0;1;1;0;
3022000;"Powiat rawicki";0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;
3023000;"Powiat słupecki";1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
3024000;"Powiat szamotulski";1;3;0;0;1;1;1;0;0;0;1;0;0;0;0;0;
3025000;"Powiat średzki";0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;
3026000;"Powiat śremski";0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;
3027000;"Powiat turecki";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
3028000;"Powiat wągrowiecki";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;
3029000;"Powiat wolsztyński";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;
3030000;"Powiat wrzesiński";3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
3061000;"Powiat m.Kalisz";0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;
3062000;"Powiat m.Konin";2;0;1;0;1;0;1;0;1;1;0;0;0;0;0;1;
3063000;"Powiat m.Leszno";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;
3064000;"Powiat m.Poznań";2;3;0;2;1;4;4;7;4;7;3;7;1;0;2;0;
3201000;"Powiat białogardzki";0;0;0;0;0;0;0;0;2;1;0;4;0;0;0;0;
3202000;"Powiat choszczeński";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
3203000;"Powiat drawski";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;
3204000;"Powiat goleniowski";0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;
3205000;"Powiat gryficki";0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;
3206000;"Powiat gryfiński";0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;
3207000;"Powiat kamieński";0;0;0;0;1;1;2;1;2;1;1;2;0;0;0;0;
3208000;"Powiat kołobrzeski";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;
3209000;"Powiat koszaliński";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;
3210000;"Powiat myśliborski";0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;
3211000;"Powiat policki";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3213000;"Powiat sławieński";0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;0;
3214000;"Powiat stargardzki";0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
3215000;"Powiat szczecinecki";1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
3216000;"Powiat świdwiński";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3218000;"Powiat łobeski";0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;
3261000;"Powiat m.Koszalin";0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;
3262000;"Powiat m.Szczecin";1;1;2;1;2;3;2;0;1;1;2;1;0;0;2;0;
3263000;"Powiat m.Świnoujście";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
